POSICION,TRIMESTRE,TRIMESTRE_NUM,TRIMESTRE_LEYENDA,ENTIDAD,MTO_SOLS_CPA,NRO_SOLS_CPA,MTO_PROM_X_SOLC,MTO_CPAS_AUT,NRO_CPAS_AUT,PROM_CPAS_AUT,PORC_CPAS_AUT,MTO_CONT_CARG,NRO_CONT_CARG,PORC_CONT_CARG_VS_CPAS_AUT
5,01/12/2015,42339,4Q 2015,Banorte0Ixe,1665836757,696411,2392,862637169,413188,2088,0.5933,805560,263,0.0006
6,01/12/2015,42339,4Q 2015,HSBC,900635513,414698,2172,492457636,241232,2041,0.5817,2362355,772,0.0032
7,01/12/2015,42339,4Q 2015,Scotiabank,381476360,164101,2325,205652988,90776,2265,0.5532,735101,261,0.0029
8,01/12/2015,42339,4Q 2015,Invex,48381371,15115,3201,9221032,3989,2312,0.2639,151698,67,0.0168
9,01/12/2015,42339,4Q 2015,Banregio,95650179,29562,3236,54191807,17674,3066,0.5979,135521,30,0.0017
10,01/12/2015,42339,4Q 2015,Azteca,1725018,682,2529,1097405,349,3144,0.5117,0,0,0
1,01/03/2016,42430,1Q 2016,BBVA Bancomer,8402745441,5993725,1402,6580682273,4899490,1343,0.8174,1459569,294,0.0001
2,01/03/2016,42430,1Q 2016,Banamex,6189207889,3546365,1745,4638565319,2811655,1650,0.7928,33023540,15931,0.0057
3,01/03/2016,42430,1Q 2016,Bancoppel,191199553,239463,798,100500648,152129,661,0.6353,0,0,0
4,01/03/2016,42430,1Q 2016,Santander,1375126131,692564,1986,754544507,357648,2110,0.5164,13267843,4335,0.0121
5,01/03/2016,42430,1Q 2016,Banorte0Ixe,1489907012,637377,2338,937911682,429596,2183,0.674,752523,256,0.0006
6,01/03/2016,42430,1Q 2016,HSBC,807374410,373125,2164,497264619,249194,1995,0.6679,3960302,1128,0.0045
7,01/03/2016,42430,1Q 2016,Scotiabank,360595759,156369,2306,214328856,94805,2261,0.6063,1190572,321,0.0034
8,01/03/2016,42430,1Q 2016,Invex,2085823,896,2328,1282899,406,3160,0.4531,67279,24,0.0591
9,01/03/2016,42430,1Q 2016,Banregio,94468383,28684,3293,49584411,18307,2708,0.6382,190627,61,0.0033
10,01/03/2016,42430,1Q 2016,Azteca,1812201,874,2073,1281565,545,2351,0.6236,500,1,0.0018
1,01/06/2016,42522,2Q 2016,BBVA Bancomer,7903589634,5900530,1339,6044359738,4749263,1273,0.8049,1459569,294,0.0001
2,01/06/2016,42522,2Q 2016,Banamex,4827340791,2765825,1745,3533301146,2130119,1659,0.7702,30788805,16390,0.0077
3,01/06/2016,42522,2Q 2016,Bancoppel,214494456,262675,817,106885425,160969,664,0.6128,0,0,0
4,01/06/2016,42522,2Q 2016,Santander,1657163950,810318,2045,890811524,408829,2179,0.5045,15134025,7055,0.0173
5,01/06/2016,42522,2Q 2016,Banorte0Ixe,1841981787,735391,2505,1068844862,463298,2307,0.63,1041008,380,0.0008
6,01/06/2016,42522,2Q 2016,HSBC,925382317,424876,2178,568363948,276408,2056,0.6506,5069802,1328,0.0048
7,01/06/2016,42522,2Q 2016,Scotiabank,403518785,177648,2271,240964305,104712,2301,0.5894,1098085,291,0.0028
8,01/06/2016,42522,2Q 2016,Invex,4984585,1678,2971,2159492,730,2958,0.435,900,1,0.0014
9,01/06/2016,42522,2Q 2016,Banregio,140949403,33971,4149,86134824,21658,3977,0.6375,326190,63,0.0029
10,01/06/2016,42522,2Q 2016,Azteca,2043310,1357,1506,1480302,724,2045,0.5335,27110,3,0.0041
1,01/09/2016,42614,3Q 2016,BBVA Bancomer,8571396789,6469831,1325,6473841508,5223135,1239,0.8073,1459569,294,0.0001
2,01/09/2016,42614,3Q 2016,Banamex,6693729916,3829246,1748,4882892324,3035634,1609,0.7927,37960421,17597,0.0058
3,01/09/2016,42614,3Q 2016,Bancoppel,237425891,317050,749,117303217,199473,588,0.6292,0,0,0
4,01/09/2016,42614,3Q 2016,Santander,2330179525,1272284,1831,1018437950,560524,1817,0.4406,15643268,7306,0.013
5,01/09/2016,42614,3Q 2016,Banorte0Ixe,2395200061,1910970,1253,1220502069,579014,2108,0.303,2050275,1011,0.0017
6,01/09/2016,42614,3Q 2016,HSBC,1263776044,627375,2014,643214809,351301,1831,0.56,3864229,1328,0.0038
7,01/09/2016,42614,3Q 2016,Scotiabank,534791635,254503,2101,269040907,131431,2047,0.5164,1454317,388,0.003
8,01/09/2016,42614,3Q 2016,Invex,5839822,1639,3563,2795831,916,3052,0.5589,79721,25,0.0273
